region,speedup
abujapropertyco.com,27.544005135151718
202.com,182.0128730014419
afreesite.net,134.81083164054544
cnsltd.com,31.9389581436242
collectivehaul.com,14.831412031210672
alepato.com,89.4573056897603
abhacool.com,31.099557954290592
ajova.net,115.76406134311463
6star.net,21.69422841618449
bbplz.com,24.916027091169003
bilraqlaw.com,45.02229803286159
1031explained.com,20.966103965061155
1clickbd.com,13.17209329970245
bishopleroydavisministries.org,1.1058111149219323
cassanodadda.com,32.3450505741448
aygs.com,19.276880931819967
1ppl.com,26.086067621963966
buncomic.com,16.11672152601523
a-sf.com,51.32299679210789
burnopfield.net,18.13317726501147
baja.eu,11.472533710717473
boxingscene.com,1.6095046195224108
buzzybees.com,178.25901882503652
chocay.net,47.39220769479591
batsnballs.info,22.85192002663168
clicktoenter.com,20.21532157157157
bouncefunplex.com,51.97204178799313
audiovideoconcepts.net,5.366745625893114
alexwichert.com,15.744380260937396
benelliclubgb.net,10.214015077705175
bluespy.net,19.70095310996646
barrympeterson.com,17.540937762450188
buenosdiasflorida.com,10.271644348565973
c9035.cn,3.2966950392631627
camvas.com,153.54473010064044
cinepipoca.net,186.22387272210725
03941.de,146.07660784532638
bintankitecenter.com,35.1762015274468
4lava.com,18.69341447095931
austro-immo.de,20.27209775967413
allenhalloween.com,111.33521084350689
b-zyz.com,19.0038514054334
cocabags.com,63.85725035952292
chivuco.com,57.94290657439446
aktcam.de,19.43799622428456
95f.com,705.3572030140608
authoritydomain.com,730.1727208851017
1aq.net,112.93715546344174
8ks.com,53.96053945719131
bigblondtits.com,3.1053795185750395
assistirjogos.net,13.024447105047932
apocrypha.us,98.4262879720854
biologia.com,63.88587740207763
besonderekinder.de,50.38749149419196
9zll.com,24.37550123620952
2cv.net,16.541850505130895
christianpathologist.com,174.67969519695865
acpsupplies.com,338.08221523678094
94975.com,382.0227332852064
biskaia.net,18.04617076375269
bergamini.eu,15.314813824810884
cnkmt.com,53.59287246505171
benelliamerica.com,1.2110056762910708
4sheart.com,11.983673044925126
afilihosting.com,8.437381756352229
cognite.jp,0.8361017197853786
bojicafe.com,19.24503272727273
29lm.com,15.65243119612476
2mesh.net,21.060949961534416
belladan.com,17.702443524435242
ausim.com,45.50429493831431
20kxy.com,17.22959180644204
c-arts.ru,11.260082584362657
b-daman.com,50.194861370744775
billiecotton.com,18.09176626375119
atrila.net,14.191358132939856
azguard.com,13.332878248428768
blauertacho4u.de,32.29048943906884
c6229.cn,36.4157379705809
autobloggingblueprint.com,51.63172355619616
21carinsurance.org,21.34432691640929
alteposthattingen.de,139.52868194424173
biur.com,31.29732442132948
analoge.com,27.59616310343457
badrish.com,13.1252999243144
badewannenshop24.de,31.675495699580537
c6025.cn,20.920559678731188
b2514.cn,20.72925091727148
auroratownship.org,15.879366650173182
carterlakepd.com,195.04903093668048
54536.de,33.053038187495
caosclub.org,24.928767072811244
52dr.com,17.90993943747693
cnpcaa.com,12.270667508773103
basilios.net,59.67324251528496
bj7ch.com,20.237814241388044
babakale.com,18.889357304743005
2387.de,24.42380984521238
brd8.com,26.55807417866764
bpaq.com,19.42108446866485
antithesis.org,37.48253231124824
cardcasters.com,52.51032953537558
aircraftshots.com,17.767556891518463
bostongals.com,41.75028552607377
cheapthrills.net,9.148614965113484
briarhopper.com,232.2101301323248
9n.ca,14.420367581955889
altawheedislamiccenter.com,54.53870375043091
augce.com,23.868971811762915
bbcradio.eu,278.08911573306113
cassarisparmio.com,16.719342405036084
ccne.com,14.13322975430204
andorracorp.com,15.959062190758926
aviationschoolsonline.com,22.6558674159218
averagerating.com,13.243011979463777
b766.cn,27.032382520381645
bluebatmobile.com,38.427425406930105
bevelled.com,22.749085577093503
alcoholicos.net,13.65110883505522
apartments360.de,9.66180454048308
5jul.com,21.671993934616616
billigster.at,25.456370381322326
capigroupe.net,18.38477390297532
azzaza.com,58.74829487849088
austinem.com,26.004729414164625
36g.com,30.16174303786133
axthony.me,17.3408986116092
blvo.com,196.88986335388756
32zp.com,236.31724060370223
boxingift.com,12.307041559034142
bleh9.com,12.184583492876664
apurie.com,22.7456458455455
8mhk.com,8.75294136699677
cashadvance31.com,17.90133558294575
blogatronica.com,7.25782157965692
bhhq.com,199.1826332322676
327ss.com,182.42367380882965
artsacademy.it,17.078300738665398
classvisits.com,82.38377593507946
adteractive.com,20.084234095120443
98z.com,24.921037677033503
50ci.com,39.44799760722319
batistainfo.com,790.2501916416273
carbi.com,850.0391424145312
blackbabe.de,707.9569268671669
cloudmusic.pro,18.070359743304948
adpersonam.org,23.78805944404616
allopurinol.de,22.447630012644044
baseball-reference.com,139.8916466998423
ax111.com,42.96947475550823
7xad.com,27.81085812131204
blackcatclub.org,36.5291308067192
0523u.com,108.30654079568444
coaday.com,37.68099567620133
coachdiaperbag-coupons.com,55.000552385797874
69grad.de,28.96707643129138
brainiax.com,102.28538713668628
candylips.com,12.877120850315098
aborrecido.com,14.099992770113714
aymnry.com,18.72455146406988
afgview.com,22.072526134036487
aiccinc.com,14.446664778748127
cepid.com,17.97920892770711
5000dy.com,16.846198834009492
689a.com,40.12236797359751
cichewicz.ca,100.15530713215792
acgltd.com,22.11858710085467
ahannan.net,19.451063412647844
clubreposoir.ch,21.63742097917408
bummm.info,20.02624339717677
allskin.com,215.64861659540244
brk.com,69.04128224233526
bstc.com,29.787358601833485
123fb.com,23.372051215306023
clubpinguin.es,178.0307563823813
babesteenagers.com,66.4222732012513
cncjn.com,35.15712600847805
bonbonfemme.com,240.99498102739076
ansl.info,66.70638017255591
alti.info,20.157648898671127
chablis-the-french-chic.com,8.500912320751075
0m0d.com,24.574218777573076
28dayslateranalysis.com,154.70657223710296
45941.com,36.92034991302035
beteilig.com,43.435375492812426
arcatas.net,168.41476556728804
bul.de,37.19753575384768
alleine.org,28.41261703364112
blueciel.com,18.384111064449986
antropologia.org,18.509050371109225
bukittinggi.de,22.235401223412595
buckinghamnicks.com,23.18764191569881
cancunhoteles-mx.com,34.96078149231778
calpinetech.com,120.43077264259736
1-amateur-nude-chats.com,27.53549517966696
christianguardian2.com,131.33192588481407
citygate.ca,97.96350974053236
americansports.org,17.293663303909206
chileactores.cl,59.13914863994348
454zy.com,64.64184602623763
bleusyrus.info,509.9118829419806
75112.com,102.1083655438984
agoomo.com,278.15479227886186
barockkunst.de,153.09577756751486
blagpanorama.ru,298.23991682064883
cancerhelp101.com,41.15895290095423
behavioral-or.org,68.50431700445334
asock.com,127.23978331509664
18mona.com,36.060611714125
bhall.com,252.09807836743667
adultindir.net,24.203550887721928
ascending-star.com,18.940757543334048
badmonkeybistro.com,12.56123976100442
buy6.com,16.208376827287495
asiaia.com,23.559393488864675
33-33-33.com,80.72621002691484
b474.cn,195.67170392459892
72505.com,22.660234143350173
actinicexpress.com,23.57542818850149
awalhosting.com,26.604301211347032
boardgames.fr,17.58697631626372
basketballguy.com,24.768996720824845
berichten.de,24.086457292209225
chinasayno.com,139.75573785084163
anuf.com,130.05618398126975
aneo.net,47.10663382704466
c1779.cn,105.76668489365989
bucara.de,103.57939425823857
antinomy.com,0.3294496364826126
blouyobs.com,14.62174101506707
1onlinedegree.com,26.07777038358134
bublik.de,138.52059289206656
bj59ad.com,157.2000316631046
alhoob.com,95.82929379790644
apsnygov.org,157.4753184780147
augentraum.com,65.62018331964559
activityebooks.com,33.53252313514728
10fuck.com,191.9629998319893
basket-supplies.info,9.858394981422885
arcoparma.it,33.6196743434729
cincinnati-excite.com,27.11432177343569
blog-design.net,4.438189370998968
addhq.net,148.11034285246706
aowcincinnati.com,18.53643166471417
blacklisted.pl,29.10950989530423
classannual.com,94.27288913668065
bmrtl.com,17.843305090808744
babyhao.net,62.384338621492034
38abra.com,133.04572412267208
classixfestival.de,34.85047611479111
cheapmountainbikesinfo.com,36.051491763085785
c-artpinchuk.org,26.377636864530334
ceilingfanonline.com,17.737962279586338
1490theoutlaw.com,27.76641659654804
bdpress.net,21.66444711836972
caucasian.ca,19.286271069156637
ancientguru.com,17.758913641608235
betrates.com,32.06537460989599
3ggays.com,2.835814086147587
56405.com,24.41299898637089
canadianembassy.net,24.846842070998765
120filmi.com,24.2411907015883
anhaguera.com,14.573932233148897
adno.de,13.306381548230458
69560.com,77.34916246006087
co.pl,12.268489836476355
antonellaclerici.it,22.972503335117725
ambientrance.org,16.03378451953168
alzol.com,150.18743918469073
c164.cn,78.93543874048649
bangkopost.com,22.357028944627668
24worldnews.com,62.05380885083272
